fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Ronaldo Rodriguez,1999-05-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,16,NA,16,NA,16,16,3,2,0 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,2,0,7,2573,2723,2507,2024-02-24,W - Denys Bondar,2025-03-29,L - Kevin Borjas,NA,NA
Louis Jourdain,1997-03-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,bantamweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,2573,NA,NA,NA,NA,NA,NA,NA,NA
Darrius Flowers,1994-08-25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"welterweight, lightweight",16,NA,16,NA,16,16,4,1,1 KO 0 Sub 0 Dec,3,0 KO 2 Sub 1 Dec,1,1,0,8.8,2572,2607,2663,2023-07-29,L - Jake Matthews,2026-04-04,W - Lando Vannata,NA,NA
Ding Meng,1994-09-26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,China,male,welterweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,8,2572,2572,2397,2026-05-30,L - Jose Souza,2026-05-30,L - Jose Souza,NA,NA
Nikolija Milosevic,1996-08-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Serbia, Sweden",female,women's bantamweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2572,NA,2284,NA,NA,NA,NA,2026-08-01,Hailey Cowan
Isaac Thomson,2002-05-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,featherweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,8,2571,2571,2879,2025-12-13,L - Joanderson Brito,2025-12-13,L - Joanderson Brito,NA,NA
Chad Anheliger,1986-12-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,bantamweight,16,NA,16,NA,16,16,5,2,1 KO 0 Sub 1 Dec,3,0 KO 1 Sub 2 Dec,-1,1,0,10.8,2570,2738,2621,2022-02-19,W - Jesse Strader,2024-11-02,L - Cody Gibson,NA,NA
Ottman Azaitar,1990-02-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Germany, Morocco",male,lightweight,16,NA,16,NA,16,16,5,2,2 KO 0 Sub 0 Dec,3,3 KO 0 Sub 0 Dec,-3,2,2,6.2,2570,2950,2699,2019-09-07,W - Teemu Packalen,2024-12-14,L - Michael Johnson,NA,NA
Jackson McVey,1999-03-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,3,1,0 KO 1 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,1,1,1,11,2567,2567,2661,2025-07-19,L - Brunno Ferreira,2026-04-25,W - Sedriques Dumas,2026-08-22,Wes Schultz
Gerald Meerschaert,1987-12-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,26,12,1 KO 11 Sub 0 Dec,14,5 KO 3 Sub 6 Dec,-5,3,5,7.1,2566,2986,2791,2016-12-09,W - Joe Gigliotti,2026-05-02,L - Jacob Malkoun,NA,NA
